行政區,公廁編號,公廁類別,公廁名稱,公廁位置,公廁等級,公廁地址,經度,緯度,管理單位,尿布臺設置數量,兒童座椅設置數量,親子友善評鑑獲獎
萬華區,機155,機關,臺北市動產質借處龍山分處,5F親子無障礙,特優級(分),臺北市萬華區和平西路三段120號5樓,121.499739,25.034816,臺北市動產質借處龍山分處,0,1,
萬華區,A769,交通,萬華車站地下停車場,無障礙兼親子,特優級(分),臺北市萬華區康定路382號B1,121.499701,25.033488,好停企業有限公司,1,1,
萬華區,A556,交通,青年公園高爾夫球場地下停車場(署),親子廁所,特優級(分),臺北市萬華區國興路5號地下,121.508017,25.024091,臺北市停車管理工程處青年公園高爾夫球場地下停車場,1,1,
萬華區,A771,交通,新和國小地下停車場,親子廁所,特優級(分),臺北市萬華區中華路2段416巷21號,121.502759,25.02719,正好停股份有限公司,1,1,
萬華區,流107,公園,雙園河濱公園,雙園河濱公園(兒童遊戲場旁)親子廁所,,華江橋下兒童遊戲場旁,121.488404,25.034454,水利處高灘地南區管理站,0,0,
萬華區,流108,公園,雙園河濱公園,雙園河濱公園(兒童遊戲場旁)親子廁所,,華江橋下兒童遊戲場旁,121.488404,25.034454,水利處高灘地南區管理站,0,0,
萬華區,流120,公園,華中河濱景觀公廁,華中河濱景觀公廁(遊憩區旁靠近水防道路)親子,,遊憩區旁靠近水防道路,121.493128,25.017942,水利處高灘地南區管理站,0,0,
萬華區,流121,公園,華中河濱景觀公廁,華中河濱景觀公廁(遊憩區旁靠近水防道路)親子,,遊憩區旁靠近水防道路,121.49309,25.017998,水利處高灘地南區管理站,0,0,
萬華區,流124,公園,華中河濱景觀公廁,華中河濱景觀公廁(遊憩區靠網球場)親子,,遊憩區靠網球場,121.492003,25.016925,水利處高灘地南區管理站,0,0,
萬華區,流134,公園,馬場町河濱公園,馬場町河濱公園疏散門旁親子,,馬場町疏散門旁,121.504292,25.019466,水利處高灘地南區管理站,0,0,
萬華區,流137,公園,馬場町河濱公園,馬場町河濱公園疏散門旁親子,,馬場町疏散門旁,121.504292,25.019466,水利處高灘地南區管理站,0,0,
萬華區,E020,市場,公有環南綜合市場(署),丙4區-B2親子廁所,優等級(分),臺北市萬華區環河南路二段245號,121.489814,25.029942,臺北市市場處公有環南綜合市場,1,1,
萬華區,E020,市場,公有環南綜合市場(署),丙7區-B2親子廁所,優等級(分),臺北市萬華區環河南路二段245號,121.489814,25.029942,臺北市市場處公有環南綜合市場,1,1,
萬華區,E020,市場,公有環南綜合市場(署),丁3區-B2親子廁所,優等級(分),臺北市萬華區環河南路二段245號,121.489814,25.029942,臺北市市場處公有環南綜合市場,1,1,
萬華區,E020,市場,公有環南綜合市場(署),丁6區-B2親子廁所,優等級(分),臺北市萬華區環河南路二段245號,121.489814,25.029942,臺北市市場處公有環南綜合市場,1,1,
萬華區,E020,市場,公有環南綜合市場(署),丙4區-B1親子廁所,優等級(分),臺北市萬華區環河南路二段245號,121.489814,25.029942,臺北市市場處公有環南綜合市場,1,1,
萬華區,E020,市場,公有環南綜合市場(署),丙7區-B1親子廁所,優等級(分),臺北市萬華區環河南路二段245號,121.489814,25.029942,臺北市市場處公有環南綜合市場,1,1,
萬華區,E020,市場,公有環南綜合市場(署),丁3區-B1親子廁所,優等級(分),臺北市萬華區環河南路二段245號,121.489814,25.029942,臺北市市場處公有環南綜合市場,1,1,
萬華區,E020,市場,公有環南綜合市場(署),丁6區-B1親子廁所,優等級(分),臺北市萬華區環河南路二段245號,121.489814,25.029942,臺北市市場處公有環南綜合市場,1,1,
萬華區,E020,市場,公有環南綜合市場(署),丁3區-1樓親子廁所,優等級(分),臺北市萬華區環河南路二段245號,121.489814,25.029942,臺北市市場處公有環南綜合市場,1,1,
萬華區,E020,市場,公有環南綜合市場(署),丁6區-1樓親子廁所,優等級(分),臺北市萬華區環河南路二段245號,121.489814,25.029942,臺北市市場處公有環南綜合市場,1,1,
萬華區,E020,市場,公有環南綜合市場(署),丙6區-2樓親子廁所,優等級(分),臺北市萬華區環河南路二段245號,121.489814,25.029942,臺北市市場處公有環南綜合市場,1,1,
萬華區,E020,市場,公有環南綜合市場(署),210室旁-2樓親子廁所,優等級(分),臺北市萬華區環河南路二段245號,121.489814,25.029942,臺北市市場處公有環南綜合市場,1,1,
萬華區,E020,市場,公有環南綜合市場(署),丁1區-3樓親子廁所,優等級(分),臺北市萬華區環河南路二段245號,121.489814,25.029942,臺北市市場處公有環南綜合市場,1,1,
萬華區,E020,市場,公有環南綜合市場(署),329室旁-3樓親子廁所,優等級(分),臺北市萬華區環河南路二段245號,121.489814,25.029942,臺北市市場處公有環南綜合市場,1,1,
萬華區,E020,市場,公有環南綜合市場(署),丁3區-4樓親子廁所,優等級(分),臺北市萬華區環河南路二段245號,121.489814,25.029942,臺北市市場處公有環南綜合市場,1,1,
萬華區,E020,市場,公有環南綜合市場(署),丁3區-5樓親子廁所,優等級(分),臺北市萬華區環河南路二段245號,121.489814,25.029942,臺北市市場處公有環南綜合市場,1,1,
